Gm#,Year,Date,Month,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,DATE,OPP,Play,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
48,2016,"Thursday, May 26",May,boxscore,WSN,,STL,W,2,1,,29-19,1,up 1.0,Ross,Leake,Papelbon,2:27,1,"26,176",26-May,vs STL,1,WÊ2-1,4,1,1,0,0,1,1,0,2,0,0,0.426,0.545,0.971,0.245
49,2016,"Friday, May 27",May,boxscore,WSN,,STL,L,2,6,,29-20,1,Tied,Garcia,Scherzer,,2:32,1,"30,781",27-May,vs STL,1,LÊ6-2,4,1,1,0,0,0,0,0,1,0,0,0.423,0.537,0.96,0.245
50,2016,"Saturday, May 28",May,boxscore,WSN,,STL,L,4,9,,29-21,1,Tied,Wainwright,Gonzalez,,3:00,1,"38,274",28-May,vs STL,1,LÊ9-4,4,1,1,0,0,1,1,0,0,0,0,0.42,0.55,0.97,0.245
51,2016,"Sunday, May 29",May,boxscore,WSN,,STL,W,10,2,,30-21,1,up 1.0,Strasburg,Wacha,,3:12,0,"38,898",29-May,vs STL,1,WÊ10-2,4,1,1,0,0,0,1,0,1,0,0,0.416,0.542,0.958,0.245
61,2016,"Friday, Jun 10",June,boxscore,WSN,,PHI,W,9,6,,37-24,1,up 2.5,Strasburg,Hellickson,Papelbon,2:53,1,"37,941",10-Jun,vs PHI,1,WÊ9-6,2,1,0,0,0,0,0,2,0,0,0,0.41,0.514,0.924,0.254
62,2016,"Saturday, Jun 11",June,boxscore,WSN,,PHI,W,8,0,,38-24,1,up 3.5,Roark,Nola,,2:56,0,"38,044",11-Jun,vs PHI,1,WÊ8-0,4,0,1,0,0,0,1,1,1,0,0,0.41,0.508,0.918,0.254
63,2016,"Sunday, Jun 12",June,boxscore,WSN,,PHI,W-wo,5,4,,39-24,1,up 4.5,Papelbon,Gomez,,2:56,0,"34,294",12-Jun,vs PHI,1,WÊ5-4,1,1,1,0,0,0,0,0,0,0,0,0.412,0.511,0.923,0.258
64,2016,"Monday, Jun 13",June,boxscore,WSN,,CHC,W,4,1,,40-24,1,up 5.0,Scherzer,Hendricks,Kelley,2:44,1,"37,187",13-Jun,vs CHC,1,WÊ4-1,5,0,1,0,0,0,0,0,0,0,0,0.408,0.503,0.911,0.256
65,2016,"Tuesday, Jun 14",June,boxscore,WSN,,CHC,L,3,4,,40-25,1,up 5.0,Rondon,Solis,,3:03,1,"41,955",14-Jun,vs CHC,1,LÊ4-3,2,1,0,0,0,0,0,2,0,0,0,0.409,0.497,0.906,0.254
66,2016,"Wednesday, Jun 15",June,boxscore,WSN,,CHC,W-wo,5,4,12,41-25,1,up 5.0,Petit,Cahill,,4:17,0,"42,000",15-Jun,vs CHC,1,WÊ5-4,4,1,0,0,0,0,0,1,1,0,0,0.405,0.488,0.893,0.249
77,2016,"Monday, Jun 27",June,boxscore,WSN,,NYM,W,11,4,,45-32,1,up 3.5,Ross,Syndergaard,,3:33,1,"33,109",27-Jun,vs NYM,1,WÊ11-4,3,0,2,0,0,0,1,2,0,1,0,0.401,0.48,0.881,0.254
78,2016,"Tuesday, Jun 28",June,boxscore,WSN,,NYM,W,5,0,,46-32,1,up 4.5,Perez,Harvey,,2:47,1,"29,918",28-Jun,vs NYM,1,WÊ5-0,4,2,2,1,0,1,2,0,0,0,0,0.403,0.496,0.899,0.258
79,2016,"Wednesday, Jun 29",June,boxscore,WSN,,NYM,W,4,2,,47-32,1,up 5.5,Scherzer,Verrett,Kelley,3:01,1,"33,386",29-Jun,vs NYM,1,WÊ4-2,2,1,0,0,0,0,0,2,0,0,0,0.404,0.492,0.896,0.256
80,2016,"Thursday, Jun 30",June,boxscore,WSN,,CIN,W,13,4,,48-32,1,up 6.0,Gonzalez,Finnegan,,3:07,1,"29,386",30-Jun,vs CIN,0,WÊ13-4,Did not play,,,,,,,,,,,,,,
81,2016,"Friday, Jul 1",July,boxscore,WSN,,CIN,W-wo,3,2,14,49-32,1,up 6.0,Petit,Ohlendorf,,4:30,1,"27,631",1-Jul,vs CIN,1,WÊ3-2,6,0,2,0,0,0,0,0,1,0,0,0.402,0.488,0.89,0.258
82,2016,"Saturday, Jul 2",July,boxscore,WSN,,CIN,L,4,9,10,49-33,1,up 5.0,Smith,Solis,,3:35,1,"35,195",2-Jul,vs CIN,1,LÊ9-4,4,0,1,0,0,0,1,1,0,1,0,0.402,0.485,0.887,0.258
83,2016,"Sunday, Jul 3",July,boxscore,WSN,,CIN,W,12,1,,50-33,1,up 5.0,Strasburg,Lamb,,3:08,0,"37,328",3-Jul,vs CIN,1,WÊ12-1,4,1,2,0,0,1,1,0,0,0,0,0.405,0.496,0.901,0.261
84,2016,"Monday, Jul 4",July,boxscore,WSN,,MIL,L,0,1,,50-34,1,up 4.0,Guerra,Scherzer,Jeffress,3:01,0,"29,174",4-Jul,vs MIL,1,LÊ1-0,3,0,0,0,0,0,0,1,1,0,0,0.404,0.491,0.895,0.258
85,2016,"Tuesday, Jul 5",July,boxscore,WSN,,MIL,L,2,5,,50-35,1,up 4.0,Davies,Gonzalez,Jeffress,2:52,1,"25,138",5-Jul,vs MIL,1,LÊ5-2,4,0,1,0,0,0,0,0,1,0,0,0.402,0.487,0.889,0.258
86,2016,"Wednesday, Jul 6",July,boxscore,WSN,,MIL,W,7,4,,51-35,1,up 4.0,Roark,Garza,Papelbon,2:47,0,"26,330",6-Jul,vs MIL,1,WÊ7-4,4,1,1,0,0,1,3,0,0,0,0,0.4,0.495,0.895,0.258
91,2016,"Friday, Jul 15",July,boxscore,WSN,,PIT,W,5,1,,55-36,1,up 6.0,Strasburg,Liriano,,2:43,1,"36,982",15-Jul,vs PIT,1,WÊ5-1,3,0,0,0,0,0,0,1,0,1,0,0.398,0.486,0.884,0.253
92,2016,"Saturday, Jul 16",July,boxscore,WSN,,PIT,W,6,0,,56-36,1,up 7.0,Roark,Cole,,2:36,1,"38,861",16-Jul,vs PIT,1,WÊ6-0,4,0,1,0,0,0,0,0,1,0,0,0.396,0.483,0.879,0.253
93,2016,"Sunday, Jul 17",July,boxscore,WSN,,PIT,L,1,2,18,56-37,1,up 6.0,Niese,Perez,,5:48,0,"32,775",17-Jul,vs PIT,1,LÊ2-1,6,0,1,0,0,0,0,1,1,0,0,0.394,0.477,0.871,0.252
94,2016,"Tuesday, Jul 19",July,boxscore,WSN,,LAD,L,4,8,,56-38,1,up 4.5,Kazmir,Lopez,,3:14,1,"38,747",19-Jul,vs LAD,1,LÊ8-4,4,0,0,0,0,0,0,0,0,0,0,0.39,0.471,0.861,0.248
95,2016,"Wednesday, Jul 20",July,boxscore,WSN,,LAD,W,8,1,,57-38,1,up 5.5,Gonzalez,Norris,,2:57,1,"34,050",20-Jul,vs LAD,1,WÊ8-1,3,2,1,0,0,1,2,1,2,0,0,0.391,0.479,0.87,0.249
96,2016,"Thursday, Jul 21",July,boxscore,WSN,,LAD,L,3,6,,57-39,1,up 4.5,Liberatore,Strasburg,Jansen,3:35,0,"38,586",21-Jul,vs LAD,1,LÊ6-3,3,0,1,0,0,0,1,1,2,0,0,0.391,0.478,0.869,0.25
97,2016,"Friday, Jul 22",July,boxscore,WSN,,SDP,L,3,5,,57-40,1,up 4.5,Perdomo,Roark,Maurer,2:58,1,"31,618",22-Jul,vs SD,1,LÊ5-3,3,1,0,0,0,0,0,1,2,1,0,0.39,0.473,0.863,0.248
98,2016,"Saturday, Jul 23",July,boxscore,WSN,,SDP,W-wo,3,2,,58-40,1,up 4.5,Papelbon,Quackenbush,,3:01,1,"30,747",23-Jul,vs SD,1,WÊ3-2,4,0,0,0,0,0,0,0,1,0,0,0.386,0.467,0.853,0.245
99,2016,"Sunday, Jul 24",July,boxscore,WSN,,SDP,L,6,10,,58-41,1,up 4.5,Buchter,Papelbon,,3:32,0,"30,663",24-Jul,vs SD,1,LÊ10-6,1,0,0,0,0,0,0,0,0,0,0,0.385,0.466,0.851,0.244
109,2016,"Friday, Aug 5",August,boxscore,WSN,,SFG,W,5,1,,65-44,1,up 7.0,Gonzalez,Samardzija,,2:26,1,"34,036",5-Aug,vs SF,1,WÊ5-1,3,1,1,0,0,0,1,0,0,0,0,0.377,0.442,0.819,0.235
110,2016,"Saturday, Aug 6",August,boxscore,WSN,,SFG,L,1,7,,65-45,1,up 7.0,Cain,Strasburg,,3:29,1,"36,404",6-Aug,vs SF,1,LÊ7-1,3,0,0,0,0,0,0,0,3,0,0,0.374,0.438,0.812,0.233
111,2016,"Sunday, Aug 7",August,boxscore,WSN,,SFG,W,1,0,,66-45,1,up 7.0,Roark,Bumgarner,Melancon,2:43,0,"32,790",7-Aug,vs SF,0,WÊ1-0,Did not play,,,,,,,,,,,,,,
112,2016,"Tuesday, Aug 9",August,boxscore,WSN,,CLE,L,1,3,,66-46,1,up 6.5,Bauer,Scherzer,Allen,2:55,1,"30,978",9-Aug,vs CLE,0,LÊ3-1,Did not play,,,,,,,,,,,,,,
113,2016,"Wednesday, Aug 10",August,boxscore,WSN,,CLE,W,7,4,,67-46,1,up 7.5,Gonzalez,Tomlin,Melancon,2:52,0,"30,185",10-Aug,vs CLE,0,WÊ7-4,Did not play,,,,,,,,,,,,,,
114,2016,"Friday, Aug 12",August,boxscore,WSN,,ATL,L,5,8,,67-47,1,up 7.5,Foltynewicz,Strasburg,Johnson,3:15,1,"29,089",12-Aug,vs ATL,0,LÊ8-5,Did not play,,,,,,,,,,,,,,
115,2016,"Saturday, Aug 13",August,boxscore,WSN,,ATL,W,7,6,,68-47,1,up 8.5,Lopez,Whalen,Melancon,3:07,1,"38,490",13-Aug,vs ATL,0,WÊ7-6,Did not play,,,,,,,,,,,,,,
116,2016,"Sunday, Aug 14",August,boxscore,WSN,,ATL,W,9,1,,69-47,1,up 8.5,Roark,Jenkins,,2:46,0,"29,107",14-Aug,vs ATL,1,WÊ9-1,3,2,1,1,0,0,1,1,1,0,0,0.375,0.44,0.815,0.234
126,2016,"Wednesday, Aug 24",August,boxscore,WSN,,BAL,L,8,10,,73-53,1,up 7.0,Miley,Roark,,3:28,1,"39,100",24-Aug,vs BAL,1,LÊ10-8,5,1,2,0,0,0,0,0,3,0,0,0.386,0.455,0.841,0.249
127,2016,"Thursday, Aug 25",August,boxscore,WSN,,BAL,W,4,0,,74-53,1,up 8.0,Scherzer,Jimenez,,2:43,1,"39,722",25-Aug,vs BAL,1,WÊ4-0,4,0,2,1,0,0,2,0,0,1,0,0.387,0.458,0.845,0.251
128,2016,"Friday, Aug 26",August,boxscore,WSN,,COL,W,8,5,,75-53,1,up 8.0,Gonzalez,Hoffman,,3:04,1,"33,433",26-Aug,vs COL,1,WÊ8-5,4,1,2,1,1,0,2,0,0,0,0,0.388,0.466,0.854,0.254
129,2016,"Saturday, Aug 27",August,boxscore,WSN,,COL,L,4,9,11,75-54,1,up 8.0,McGee,Petit,,4:49,0,"27,901",27-Aug,vs COL,1,LÊ9-4,4,1,1,1,0,0,1,1,3,0,0,0.388,0.466,0.854,0.254
130,2016,"Sunday, Aug 28",August,boxscore,WSN,,COL,L,3,5,,75-55,1,up 8.0,Bettis,Giolito,Ottavino,2:52,0,"28,124",28-Aug,vs COL,1,LÊ5-3,4,1,1,0,0,1,1,0,0,0,0,0.387,0.471,0.858,0.254
137,2016,"Monday, Sep 5",September,boxscore,WSN,,ATL,W,6,4,,80-57,1,up 8.5,Scherzer,Weber,,2:59,0,"26,005",5-Sep,vs ATL,0,WÊ6-4,Did not play,,,,,,,,,,,,,,
138,2016,"Tuesday, Sep 6",September,boxscore,WSN,,ATL,W,9,7,,81-57,1,up 8.5,Glover,Ramirez,Melancon,3:38,1,"17,161",6-Sep,vs ATL,1,WÊ9-7,5,1,2,0,0,0,0,0,1,1,0,0.383,0.465,0.848,0.253
139,2016,"Wednesday, Sep 7",September,boxscore,WSN,,ATL,W-wo,5,4,11,82-57,1,up 8.5,Latos,Bradley,,4:39,1,"19,894",7-Sep,vs ATL,1,WÊ5-4,5,0,1,0,0,0,0,1,2,0,0,0.382,0.462,0.844,0.252
140,2016,"Thursday, Sep 8",September,boxscore,WSN,,PHI,L,1,4,,82-58,1,up 8.0,Asher,Cole,Gomez,2:48,1,"25,412",8-Sep,vs PHI,1,LÊ4-1,4,0,0,0,0,0,0,0,1,0,0,0.379,0.458,0.837,0.25
141,2016,"Friday, Sep 9",September,boxscore,WSN,,PHI,W-wo,5,4,,83-58,1,up 8.0,Melancon,Herrmann,,3:31,1,"28,469",9-Sep,vs PHI,1,WÊ5-4,4,0,1,0,0,0,1,0,1,0,0,0.379,0.456,0.835,0.25
